fold,classifier,best_params,auc_ovr,balanced_accuracy,f1_macro
1,rf,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.5369439649823445,0.3703703703703704,0.3141414141414141
1,svm,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.5786035807357769,0.3805744520030235,0.38021089123212476
1,logreg,{'C': 10},0.5953734727721934,0.3560090702947846,0.34861111111111115
2,rf,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.6269220789476653,0.35185185185185186,0.2807017543859649
2,svm,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.5857588474859264,0.3972033257747543,0.38078149920255183
2,logreg,{'C': 1},0.5783779515122799,0.4300831443688587,0.43750000000000006
3,rf,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.4471266118387654,0.3450491307634165,0.27751196172248804
3,svm,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.5313060547602125,0.3287981859410431,0.3228869895536562
3,logreg,{'C': 0.01},0.5335313229769519,0.3745275888133031,0.3737373737373737
4,rf,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 300}",0.6074051511151725,0.37528344671201813,0.32985057858667566
4,svm,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.6337586444196252,0.4070294784580499,0.36837154614932394
4,logreg,{'C': 0.1},0.6481058426687425,0.38435374149659857,0.36689342403628117
5,rf,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.5645626899579227,0.36167800453514737,0.3269565217391304
5,svm,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5640128199916294,0.4228802632163977,0.33634194418508145
5,logreg,{'C': 1},0.642596595974365,0.47696856520385933,0.4614987080103359
