fold,classifier,best_params,auc_ovr,balanced_accuracy,f1_macro
1,rf,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.4548149276294265,0.3382464096749811,0.27377717391304346
1,gb,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 50}",0.4801079635834434,0.29931972789115646,0.23280423280423282
1,svm,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.5243143691970984,0.3552532123960696,0.30802391878737306
1,logreg,{'C': 1},0.5799940208255773,0.4486016628873772,0.4576214172205402
1,mlp,"{'alpha': 0.001, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.005}",0.5320026849877596,0.36848072562358275,0.33712199018600936
2,rf,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.5400435464401349,0.3450491307634165,0.2776081424936387
2,gb,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",0.478883925045972,0.2857142857142857,0.224
2,svm,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.4907830462201464,0.3397581254724112,0.32979561322706824
2,logreg,{'C': 0.001},0.5354012251666836,0.35676492819349964,0.3008650713402989
2,mlp,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 25), 'learning_rate_init': 0.005}",0.5290469421599485,0.31972789115646255,0.24102564102564106
3,rf,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.4630644961135366,0.3129251700680272,0.23772609819121449
3,gb,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50}",0.4720050540946063,0.2770219198790627,0.23669467787114848
3,svm,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.466939678027098,0.4489795918367347,0.4012210012210012
3,logreg,{'C': 1},0.49439875452668636,0.2781557067271353,0.2719645550527903
3,mlp,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.005}",0.4959386739770535,0.2925170068027211,0.22933333333333336
4,rf,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 300}",0.5023324420979006,0.3246409674981104,0.2661210317460318
4,gb,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.5180503378797622,0.3393801965230536,0.3228869895536562
4,svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.508181879717061,0.27059712773998484,0.2641550328297316
4,logreg,{'C': 0.01},0.538314662515089,0.37641723356009066,0.3550884955752213
4,mlp,"{'alpha': 0.0001, 'hidden_layer_sizes': (50, 25), 'learning_rate_init': 0.005}",0.46359190442346093,0.3246409674981104,0.2670807453416149
5,rf,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 300}",0.5093505231775465,0.3510515317238006,0.3068783068783068
5,gb,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5327502976810461,0.3502512115957494,0.3233565159794668
5,svm,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.490253622789025,0.30934596060646485,0.21553656220322884
5,logreg,{'C': 1},0.5553612719595531,0.3821973233737939,0.38166922683051707
5,mlp,"{'alpha': 0.001, 'hidden_layer_sizes': (50, 25), 'learning_rate_init': 0.005}",0.4887014166869392,0.3333333333333333,0.24561403508771928
