top - 16:53:30 up 26 min,  1 user,  load average: 22,32, 12,47, 5,66
Tareas: 387 total,   3 ejecutar,  384 hibernar,    0 detener,    0 zombie
%Cpu(s): 62,7 usuario, 37,3 sist,  0,0 adecuado,  0,0 inact,  0,0 en espera,  0,0 hardw int,  0,0 softw int,  0,0 robar tiempo
MiB Mem :  31971,6 total,  20311,7 libre,   6414,9 usado,   5244,9 búfer/caché
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  24984,1 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
  10664 diego     20   0 1354752 208560  24620 R 673,3   0,6  22:42.59 python3
  10663 diego     20   0 1354764 208572  24608 R 580,0   0,6  21:48.17 python3
   1721 diego     20   0 4690016 467224 142868 S   6,7   1,4   1:13.10 gnome-shell
  13777 diego     20   0   14844   4056   3300 R   6,7   0,0   0:00.01 top
      1 root      20   0  169668  12948   8252 S   0,0   0,0   0:01.18 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_rude_
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_trace
     13 root      20   0       0      0      0 S   0,0   0,0   0:00.06 ksoftirqd/0
     14 root      20   0       0      0      0 I   0,0   0,0   0:00.88 rcu_sched
     15 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migration/0
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     21 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migration/1
     22 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftirqd/1
     24 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:0H-events_highpri
     25 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     27 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migration/2
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.04 ksoftirqd/2
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0H-kblockd
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     33 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migration/3
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftirqd/3
     36 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/3:0H-events_highpri
     37 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     38 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/4
     39 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migration/4
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftirqd/4
     42 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/4:0H-events_highpri
     43 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/5
     44 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/5
     45 root      rt   0       0      0      0 S   0,0   0,0   0:00.27 migration/5
     46 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftirqd/5
     48 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/5:0H-kblockd
     49 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/6
     50 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/6
     51 root      rt   0       0      0      0 S   0,0   0,0   0:00.28 migration/6
     52 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftirqd/6
     54 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/6:0H-kblockd
     55 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/7
     56 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/7
     57 root      rt   0       0      0      0 S   0,0   0,0   0:00.28 migration/7
     58 root      20   0       0      0      0 S   0,0   0,0   0:00.04 ksoftirqd/7
     60 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/7:0H-kblockd
     61 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/8
     62 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/8
     63 root      rt   0       0      0      0 S   0,0   0,0   0:00.28 migration/8
     64 root      20   0       0      0      0 S   0,0   0,0   0:00.03 ksoftirqd/8
     66 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/8:0H-events_highpri
     67 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/9
     68 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/9
     69 root      rt   0       0      0      0 S   0,0   0,0   0:00.28 migration/9
     70 root      20   0       0      0      0 S   0,0   0,0   0:00.02 ksoftirqd/9
